EmployeeID,ReviewPeriod,PerformanceRating,PromotionFlag,ReviewerComments
1313,2024-H1,3,FALSE,Needs improvement in communication
1361,2025-H1,4,FALSE,
1260,2023-H1,3,FALSE,Strong technical contribution
1207,2025-H1,3,FALSE,Good team collaboration
1390,2024-H1,4,FALSE,Consistently meets expectations
1127,2025-H1,2,FALSE,Consistently meets expectations
1060,2023-H2,4,FALSE,Outstanding leadership shown
1283,2023-H2,3,FALSE,Below expectations this period
1035,2023-H2,2,FALSE,Consistently meets expectations
1193,2023-H2,3,TRUE,Exceeds expectations in delivery
1024,2025-H1,3,FALSE,Exceeds expectations in delivery
1153,2025-H1,4,FALSE,Below expectations this period
1347,2023-H1,4,FALSE,Outstanding leadership shown
1150,2024-H2,3,FALSE,
1239,2025-H1,4,FALSE,Exceeds expectations in delivery
1153,2023-H1,4,FALSE,
1369,2024-H1,4,FALSE,
1058,2023-H2,2,FALSE,Needs improvement in communication
1039,2023-H2,4,FALSE,Exceeds expectations in delivery
1016,2024-H2,4,TRUE,Strong technical contribution
1199,2024-H1,5,FALSE,
1362,2023-H2,3,FALSE,Consistently meets expectations
1101,2023-H1,4,FALSE,Outstanding leadership shown
1117,2025-H1,4,FALSE,
1313,2024-H1,3,FALSE,Needs improvement in communication
1251,2023-H2,3,FALSE,Strong technical contribution
1182,2024-H1,4,FALSE,Consistently meets expectations
1241,2025-H1,1,TRUE,
1170,2024-H1,4,TRUE,Below expectations this period
1050,2024-H1,3,FALSE,Good team collaboration
1346,2023-H1,4,FALSE,Exceeds expectations in delivery
1144,2023-H2,3,FALSE,Exceeds expectations in delivery
1324,2023-H1,3,FALSE,Below expectations this period
1338,2024-H2,5,FALSE,
1373,2023-H2,4,FALSE,Outstanding leadership shown
1120,2024-H1,3,FALSE,Good team collaboration
1234,2024-H1,4,FALSE,
1011,2024-H1,5,FALSE,Consistently meets expectations
1250,2024-H2,4,FALSE,Strong technical contribution
1113,2023-H2,3,FALSE,Exceeds expectations in delivery
9051,2024-H2,3,FALSE,
1041,2024-H1,3,FALSE,Good team collaboration
1069,2025-H1,4,FALSE,Consistently meets expectations
1253,2024-H2,3,FALSE,Outstanding leadership shown
1175,2024-H1,4,FALSE,
1386,2025-H1,5,FALSE,Exceeds expectations in delivery
1362,2023-H1,3,FALSE,Needs improvement in communication
1048,2024-H1,3,FALSE,Consistently meets expectations
1259,2023-H2,2,FALSE,Below expectations this period
